"RT_ID","SN_B","STOP_CD_B","SN_E","STOP_CD_E","DIST","LMT_SPD"
"12OMA","1","ESTAMAJ","11","ESTAMAJ","3088","40"
"ACNAL-I","1","EALCDIA","45","EALCDIA","29437","30"
"ACNAL-R","1","ALBROCG","53","ALBROCG","33317","40"
"ADKAL-DI","1","EALCDIA","60","EALCDIA","28776","30"
"ADKAL-DR","1","ALBROCC","65","ALBROCC","31514","40"
"ALKCO","1","ALLSB1A","17","ALLSB1A","19299","60"
"AMOAL","1","ALBROCE","21","ALBROCE","20683","40"
"BCKAL-I","1","CAL1C1A","63","CAL1C1A","30513","40"
"BCKAL-R","1","ALBROCB","64","ALBROCB","31497","40"
"BCKCS-I","1","CAL1C1A","54","CAL1C1A","23982","40"
"BCKCS-R","1","PCOTM2A","53","PCOTM2A","23396","60"
"BCKMA-I","1","CAL1C1A","61","CAL1C1A","27124","40"
"BCKMA-R","1","ESTAMAN","60","ESTAMAN","25995","40"
"BCSMA-I","1","VERDB2A","35","VERDB2A","26534","40"
"BCSMA-R","1","ESTAMAB","33","ESTAMAB","27144","40"
"BCVAL-I","1","POLVE1A","76","POLVE1A","29829","60"
"BCVAL-R","1","ALBROCA","74","ALBROCA","32458","40"
"BCVEC-I","1","CAL1C1A","66","CAL1C1A","23285","40"
"BCVEC-R","1","HSBCL3A","61","HSBCL3A","23980","60"
"BCVMA-I","1","ESTAD1A","74","ESTAD1A","26440","40"
"BCVMA-R","1","ESTAMAL","70","ESTAMAL","26956","40"
"BIPAL-I","1","CABTK2A","33","CABTK2A","38988","60"
"BIPAL-R","1","ALBROCG","40","ALBROCG","41949","40"
"BLVDO-I","1","ESTA24B","37","ESTA24B","17478","60"
"BLVDO-R","1","ETBVE2D","39","ETBVE2D","18186","40"
"BLVMP-I","1","PENAB1A","37","PENAB1A","14969","40"
"BLVMP-R","1","ETBVE2C","39","ETBVE2C","15482","40"
"BLVTO-I","1","ESTASIC","50","ESTASIC","21092","40"
"BLVTO-R","1","VLOVE2A","47","VLOVE2A","20651","60"
"BOMAL-DI","1","AMANE1A","60","AMANE1A","30049","40"
"BOMAL-DR","1","DORTM2A","65","DORTM2A","31289","60"
"BONAL-I","1","AMANE1A","43","AMANE1A","29266","40"
"BONAL-R","1","ALBROCG","49","ALBROCG","31566","40"
"CASMA-I","1","CPRAD1A","23","CPRAD1A","21358","30"
"CASMA-R","1","ESTAMAB","22","ESTAMAB","21273","40"
"CHFAL-I","1","CHAGR1A","38","CHAGR1A","35023","60"
"CHFAL-R","1","ALBROCH","38","ALBROCH","35160","40"
"CHKAL-DI","1","CHAGR1A","83","CHAGR1A","41906","60"
"CHKAL-DR","1","ALBROCC","84","ALBROCC","43065","40"
"CHKCS-I","1","CHAGR1A","79","CHAGR1A","35307","60"
"CHKCS-R","1","VVETK2A","79","VVETK2A","35324","60"
"CHKMA-I","1","CHAGR1A","89","CHAGR1A","39215","60"
"CHKMA-R","1","ROCTK2A","88","ROCTK2A","39017","60"
"CHOMA","1","AMELI3A","21","AMELI3A","6656","40"
"CHPAL-I","1","CHAGR1A","31","CHAGR1A","37047","60"
"CHPAL-R","1","ALBROCG","37","ALBROCG","40352","40"
"CHPAL-TI","1","CHAGR1A","34","CHAGR1A","37612","60"
"CHPAL-TR","1","ALBROCG","41","ALBROCG","40625","40"
"COSAL-I","1","BVVCS1A","17","BVVCS1A","15331","40"
"COSAL-R","1","ALBROCF","13","ALBROCF","15481","40"
"CPEJ2-I","1","ESTAJ1B","2","ESTAJ1B","705","60"
"CPEJ2-R","1","ESTAJ2D","22","ESTAJ2D","11164","60"
"CPEJ3-I","1","ESTAD1B","2","ESTAD1B","705","40"
"CPEJ3-R","1","ESTAD2D","22","ESTAD2D","11164","40"
"CPEJD-I","1","ESTAD1B","2","ESTAD1B","705","40"
"CPEJD-R","1","ESTAD2D","20","ESTAD2D","8565","40"
"CPVAL-DI","1","CONCE1A","56","CONCE1A","25318","40"
"CPVAL-DR","1","ALBROCA","59","ALBROCA","30416","40"
"CSFAL","1","ALBROCD","22","ALBROCD","18430","40"
"D2SMA-I","1","PARED1A","27","PARED1A","29051","60"
"D2SMA-R","1","ESTAMAD","26","ESTAMAD","29572","40"
"D2SMA-TI","1","PARED1A","34","PARED1A","30413","60"
"D2SMA-TR","1","ESTAMAD","32","ESTAMAD","30827","40"
