"Intervalos","IngresosEntre15Minutis"
"00:00:00","20250"
"00:15:00","12650"
"00:30:00","9425"
"00:45:00","8500"
"01:00:00","7125"
"01:15:00","6575"
"01:30:00","4525"
"01:45:00","4625"
"02:00:00","4650"
"02:15:00","3725"
"02:30:00","3200"
"02:45:00","4675"
"03:00:00","4950"
"03:15:00","8375"
"03:30:00","14400"
"03:45:00","32350"
"04:00:00","62875"
"04:15:00","98175"
"04:30:00","132175"
"04:45:00","159430"
"05:00:00","211925"
"05:15:00","247915"
"05:30:00","278510"
"05:45:00","294195"
"06:00:00","324355"
"06:15:00","352110"
"06:30:00","346630"
"06:45:00","368900"
"07:00:00","334125"
"07:15:00","285160"
"07:30:00","252330"
"07:45:00","221815"
"08:00:00","204530"
"08:15:00","199300"
"08:30:00","195950"
"08:45:00","195620"
"09:00:00","203745"
"09:15:00","185010"
"09:30:00","180730"
"09:45:00","171825"
"10:00:00","172885"
"10:15:00","179925"
"10:30:00","183650"
"10:45:00","183995"
"11:00:00","184800"
"11:15:00","186770"
"11:30:00","170985"
"11:45:00","174865"
"12:00:00","182105"
"12:15:00","174875"
"12:30:00","172655"
"12:45:00","172390"
"13:00:00","172865"
"13:15:00","176255"
"13:30:00","181190"
"13:45:00","172660"
"14:00:00","179570"
"14:15:00","185520"
"14:30:00","185305"
"14:45:00","192475"
"15:00:00","213555"
"15:15:00","254665"
"15:30:00","258975"
"15:45:00","289410"
"16:00:00","291005"
"16:15:00","269285"
"16:30:00","294425"
"16:45:00","287425"
"17:00:00","308560"
"17:15:00","294310"
"17:30:00","285710"
"17:45:00","259015"
"18:00:00","261455"
"18:15:00","264470"
"18:30:00","231035"
"18:45:00","216370"
"19:00:00","206930"
"19:15:00","183525"
"19:30:00","169600"
"19:45:00","152480"
"20:00:00","148600"
"20:15:00","142570"
"20:30:00","121715"
"20:45:00","98950"
"21:00:00","118030"
"21:15:00","104655"
"21:30:00","93185"
"21:45:00","80985"
"22:00:00","80100"
"22:15:00","74975"
"22:30:00","63000"
"22:45:00","49900"
"23:00:00","46750"
"23:15:00","43150"
"23:30:00","33250"
"23:45:00","23750"
